Name,Description,Unit,DataType,Attributes
neo4j_dbms_vm_threads,"Generated from Dropwizard metric import (metric=neo4j.dbms.vm.threads, type=com.neo4j.metrics.source.jvm.ThreadMetrics)",
neo4j_dbms_bolt_connections_running,"Generated from Dropwizard metric import (metric=neo4j.dbms.bolt.connections_running, type=com.neo4j.metrics.source.db.BoltMetrics)",
neo4j_dbms_vm_memory_pool_g1_eden_space,"Generated from Dropwizard metric import (metric=neo4j.dbms.vm.memory.pool.g1_eden_space, type=com.neo4j.metrics.source.jvm.JVMMemoryPoolMetrics)",
neo4j_database_system_pool_transaction_system_used_native,"Generated from Dropwizard metric import (metric=neo4j.database.system.pool.transaction.system.used_native, type=com.neo4j.metrics.source.db.AbstractMemoryPoolMetrics)",
neo4j_database_system_transaction_committed_read_total,"Generated from Dropwizard metric import (metric=neo4j.database.system.transaction.committed_read, type=com.neo4j.metrics.metric.MetricsCounter)",counter,
neo4j_database_system_transaction_rollbacks_total,"Generated from Dropwizard metric import (metric=neo4j.database.system.transaction.rollbacks, type=com.neo4j.metrics.metric.MetricsCounter)",counter,
neo4j_database_system_transaction_rollbacks_read_total,"Generated from Dropwizard metric import (metric=neo4j.database.system.transaction.rollbacks_read, type=com.neo4j.metrics.metric.MetricsCounter)",counter,
neo4j_database_system_check_point_duration,"Generated from Dropwizard metric import (metric=neo4j.database.system.check_point.duration, type=com.neo4j.metrics.source.db.CheckPointingMetrics)",
neo4j_dbms_vm_gc_time_g1_old_generation_total,"Generated from Dropwizard metric import (metric=neo4j.dbms.vm.gc.time.g1_old_generation, type=com.neo4j.metrics.metric.MetricsCounter)",counter,
neo4j_database_system_db_query_execution_success_total,"Generated from Dropwizard metric import (metric=neo4j.database.system.db.query.execution.success, type=com.codahale.metrics.Meter)",counter,
neo4j_dbms_page_cache_usage_ratio,"Generated from Dropwizard metric import (metric=neo4j.dbms.page_cache.usage_ratio, type=com.neo4j.metrics.source.db.PageCacheMetrics)",
neo4j_database_system_check_point_events_total,"Generated from Dropwizard metric import (metric=neo4j.database.system.check_point.events, type=com.neo4j.metrics.metric.MetricsCounter)",counter,
neo4j_database_system_store_size_total,"Generated from Dropwizard metric import (metric=neo4j.database.system.store.size.total, type=com.neo4j.metrics.source.db.StoreSizeMetrics)",
neo4j_database_system_check_point_limit_millis,"Generated from Dropwizard metric import (metric=neo4j.database.system.check_point.limit_millis, type=com.neo4j.metrics.source.db.CheckPointingMetrics)",
neo4j_database_system_transaction_active_write,"Generated from Dropwizard metric import (metric=neo4j.database.system.transaction.active_write, type=com.neo4j.metrics.source.db.TransactionMetrics)",
neo4j_dbms_page_cache_hit_ratio,"Generated from Dropwizard metric import (metric=neo4j.dbms.page_cache.hit_ratio, type=com.neo4j.metrics.source.db.PageCacheHitRatioGauge)",gauge,
neo4j_database_system_db_query_execution_failure_total,"Generated from Dropwizard metric import (metric=neo4j.database.system.db.query.execution.failure, type=com.codahale.metrics.Meter)",counter,
neo4j_database_system_transaction_committed_write_total,"Generated from Dropwizard metric import (metric=neo4j.database.system.transaction.committed_write, type=com.neo4j.metrics.metric.MetricsCounter)",counter,
neo4j_dbms_page_cache_page_faults_total,"Generated from Dropwizard metric import (metric=neo4j.dbms.page_cache.page_faults, type=com.neo4j.metrics.metric.MetricsCounter)",counter,
neo4j_database_system_check_point_flushed_bytes,"Generated from Dropwizard metric import (metric=neo4j.database.system.check_point.flushed_bytes, type=com.neo4j.metrics.source.db.CheckPointingMetrics)",
neo4j_dbms_pool_bolt_used_heap,"Generated from Dropwizard metric import (metric=neo4j.dbms.pool.bolt.used_heap, type=com.neo4j.metrics.source.db.AbstractMemoryPoolMetrics)",
neo4j_dbms_pool_bolt_free,"Generated from Dropwizard metric import (metric=neo4j.dbms.pool.bolt.free, type=com.neo4j.metrics.source.db.AbstractMemoryPoolMetrics)",
neo4j_dbms_pool_bolt_total_used,"Generated from Dropwizard metric import (metric=neo4j.dbms.pool.bolt.total_used, type=com.neo4j.metrics.source.db.AbstractMemoryPoolMetrics)",
neo4j_dbms_vm_heap_used,"Generated from Dropwizard metric import (metric=neo4j.dbms.vm.heap.used, type=com.neo4j.metrics.source.jvm.HeapMetrics)",
neo4j_database_system_ids_in_use_node,"Generated from Dropwizard metric import (metric=neo4j.database.system.ids_in_use.node, type=com.neo4j.metrics.source.db.EntityCountMetrics)",
neo4j_dbms_vm_memory_pool_g1_old_gen,"Generated from Dropwizard metric import (metric=neo4j.dbms.vm.memory.pool.g1_old_gen, type=com.neo4j.metrics.source.jvm.JVMMemoryPoolMetrics)",
neo4j_dbms_bolt_connections_opened_total,"Generated from Dropwizard metric import (metric=neo4j.dbms.bolt.connections_opened, type=com.neo4j.metrics.metric.MetricsCounter)",counter,
neo4j_database_system_transaction_committed_total,"Generated from Dropwizard metric import (metric=neo4j.database.system.transaction.committed, type=com.neo4j.metrics.metric.MetricsCounter)",counter,
neo4j_dbms_page_cache_hits_total,"Generated from Dropwizard metric import (metric=neo4j.dbms.page_cache.hits, type=com.neo4j.metrics.metric.MetricsCounter)",counter,
neo4j_database_system_check_point_io_performed,"Generated from Dropwizard metric import (metric=neo4j.database.system.check_point.io_performed, type=com.neo4j.metrics.source.db.CheckPointingMetrics)",
neo4j_database_system_transaction_active_read,"Generated from Dropwizard metric import (metric=neo4j.database.system.transaction.active_read, type=com.neo4j.metrics.source.db.TransactionMetrics)",
neo4j_dbms_bolt_messages_received_total,"Generated from Dropwizard metric import (metric=neo4j.dbms.bolt.messages_received, type=com.neo4j.metrics.metric.MetricsCounter)",counter,
neo4j_database_system_check_point_limit_times,"Generated from Dropwizard metric import (metric=neo4j.database.system.check_point.limit_times, type=com.neo4j.metrics.source.db.CheckPointingMetrics)",gauge
