azure_active_cores_average;azure_active_cores_count;azure_active_cores_maximum;azure_active_cores_minimum;azure_active_cores_total,Gauge,Count,Number of active cores,
azure_cpuutilizationpercentage_average;azure_cpuutilizationpercentage_count;azure_cpuutilizationpercentage_maximum;azure_cpuutilizationpercentage_minimum;azure_cpuutilizationpercentage_total,Gauge,Count,Utilization percentage of a CPU node. Utilization is aggregated in one minute intervals.,
azure_diskavailmegabytes_average;azure_diskavailmegabytes_count;azure_diskavailmegabytes_maximum;azure_diskavailmegabytes_minimum;azure_diskavailmegabytes_total,Gauge,Count,Available disk space in megabytes. Metrics are aggregated in one minute intervals.,
azure_diskreadmegabytes_average;azure_diskreadmegabytes_count;azure_diskreadmegabytes_maximum;azure_diskreadmegabytes_minimum;azure_diskreadmegabytes_total,Gauge,Count,Data read from disk in megabytes. Metrics are aggregated in one minute intervals.,
azure_diskusedmegabytes_average;azure_diskusedmegabytes_count;azure_diskusedmegabytes_maximum;azure_diskusedmegabytes_minimum;azure_diskusedmegabytes_total,Gauge,Count,Used disk space in megabytes. Metrics are aggregated in one minute intervals.,
azure_diskwritemegabytes_average;azure_diskwritemegabytes_count;azure_diskwritemegabytes_maximum;azure_diskwritemegabytes_minimum;azure_diskwritemegabytes_total,Gauge,Count,Data written into disk in megabytes. Metrics are aggregated in one minute intervals.,
azure_errors_average;azure_errors_count;azure_errors_maximum;azure_errors_minimum;azure_errors_total,Gauge,Count,Number of run errors in this workspace. Count is updated whenever run encounters an error.,
azure_failed_runs_average;azure_failed_runs_count;azure_failed_runs_maximum;azure_failed_runs_minimum;azure_failed_runs_total,Gauge,Count,Number of runs failed for this workspace. Count is updated when a run fails.,
azure_finalizing_runs_average;azure_finalizing_runs_count;azure_finalizing_runs_maximum;azure_finalizing_runs_minimum;azure_finalizing_runs_total,Gauge,Count,Number of runs entered finalizing state for this workspace. Count is updated when a run has completed but output collection still in progress.,
azure_gpucapacitymilligpus_average;azure_gpucapacitymilligpus_count;azure_gpucapacitymilligpus_maximum;azure_gpucapacitymilligpus_minimum;azure_gpucapacitymilligpus_total,Gauge,Count,Maximum capacity of a GPU device in milli-GPUs. Capacity is aggregated in one minute intervals.,
azure_gpuenergyjoules_average;azure_gpuenergyjoules_count;azure_gpuenergyjoules_maximum;azure_gpuenergyjoules_minimum;azure_gpuenergyjoules_total,Gauge,Count,Interval energy in Joules on a GPU node. Energy is reported at one minute intervals.,
azure_gpumemorycapacitymegabytes_average;azure_gpumemorycapacitymegabytes_count;azure_gpumemorycapacitymegabytes_maximum;azure_gpumemorycapacitymegabytes_minimum;azure_gpumemorycapacitymegabytes_total,Gauge,Count,Maximum memory capacity of a GPU device in megabytes. Capacity aggregated in at one minute intervals.,
azure_gpumemoryutilization_average;azure_gpumemoryutilization_count;azure_gpumemoryutilization_maximum;azure_gpumemoryutilization_minimum;azure_gpumemoryutilization_total,Gauge,Count,Percentage of memory utilization on a GPU node. Utilization is reported at one minute intervals.,
azure_gpumemoryutilizationmegabytes_average;azure_gpumemoryutilizationmegabytes_count;azure_gpumemoryutilizationmegabytes_maximum;azure_gpumemoryutilizationmegabytes_minimum;azure_gpumemoryutilizationmegabytes_total,Gauge,Count,Memory utilization of a GPU device in megabytes. Utilization aggregated in at one minute intervals.,
azure_gpumemoryutilizationpercentage_average;azure_gpumemoryutilizationpercentage_count;azure_gpumemoryutilizationpercentage_maximum;azure_gpumemoryutilizationpercentage_minimum;azure_gpumemoryutilizationpercentage_total,Gauge,Count,Memory utilization percentage of a GPU device. Utilization aggregated in at one minute intervals.,
azure_gpuutilization_average;azure_gpuutilization_count;azure_gpuutilization_maximum;azure_gpuutilization_minimum;azure_gpuutilization_total,Gauge,Count,Percentage of utilization on a GPU node. Utilization is reported at one minute intervals.,
azure_gpuutilizationmilligpus_average;azure_gpuutilizationmilligpus_count;azure_gpuutilizationmilligpus_maximum;azure_gpuutilizationmilligpus_minimum;azure_gpuutilizationmilligpus_total,Gauge,Count,Utilization of a GPU device in milli-GPUs. Utilization is aggregated in one minute intervals.,
azure_gpuutilizationpercentage_average;azure_gpuutilizationpercentage_count;azure_gpuutilizationpercentage_maximum;azure_gpuutilizationpercentage_minimum;azure_gpuutilizationpercentage_total,Gauge,Count,Utilization percentage of a GPU device. Utilization is aggregated in one minute intervals.,
azure_ibreceivemegabytes_average;azure_ibreceivemegabytes_count;azure_ibreceivemegabytes_maximum;azure_ibreceivemegabytes_minimum;azure_ibreceivemegabytes_total,Gauge,Count,Network data received over InfiniBand in megabytes. Metrics are aggregated in one minute intervals.,
azure_ibtransmitmegabytes_average;azure_ibtransmitmegabytes_count;azure_ibtransmitmegabytes_maximum;azure_ibtransmitmegabytes_minimum;azure_ibtransmitmegabytes_total,Gauge,Count,Network data sent over InfiniBand in megabytes. Metrics are aggregated in one minute intervals.,
azure_idle_cores_average;azure_idle_cores_count;azure_idle_cores_maximum;azure_idle_cores_minimum;azure_idle_cores_total,Gauge,Count,Number of idle cores,
azure_idle_nodes_average;azure_idle_nodes_count;azure_idle_nodes_maximum;azure_idle_nodes_minimum;azure_idle_nodes_total,Gauge,Count,Number of idle nodes. Idle nodes are the nodes which are not running any jobs but can accept new job if available.,
azure_leaving_cores_average;azure_leaving_cores_count;azure_leaving_cores_maximum;azure_leaving_cores_minimum;azure_leaving_cores_total,Gauge,Count,Number of leaving cores,
azure_leaving_nodes_average;azure_leaving_nodes_count;azure_leaving_nodes_maximum;azure_leaving_nodes_minimum;azure_leaving_nodes_total,Gauge,Count,Number of leaving nodes. Leaving nodes are the nodes which just finished processing a job and will go to Idle state.,
azure_model_deploy_failed_average;azure_model_deploy_failed_count;azure_model_deploy_failed_maximum;azure_model_deploy_failed_minimum;azure_model_deploy_failed_total,Gauge,Count,Number of model deployments that failed in this workspace,
azure_model_deploy_started_average;azure_model_deploy_started_count;azure_model_deploy_started_maximum;azure_model_deploy_started_minimum;azure_model_deploy_started_total,Gauge,Count,Number of model deployments started in this workspace,
azure_model_deploy_succeeded_average;azure_model_deploy_succeeded_count;azure_model_deploy_succeeded_maximum;azure_model_deploy_succeeded_minimum;azure_model_deploy_succeeded_total,Gauge,Count,Number of model deployments that succeeded in this workspace,
azure_model_register_failed_average;azure_model_register_failed_count;azure_model_register_failed_maximum;azure_model_register_failed_minimum;azure_model_register_failed_total,Gauge,Count,Number of model registrations that failed in this workspace,
azure_model_register_succeeded_average;azure_model_register_succeeded_count;azure_model_register_succeeded_maximum;azure_model_register_succeeded_minimum;azure_model_register_succeeded_total,Gauge,Count,Number of model registrations that succeeded in this workspace,
azure_networkinputmegabytes_average;azure_networkinputmegabytes_count;azure_networkinputmegabytes_maximum;azure_networkinputmegabytes_minimum;azure_networkinputmegabytes_total,Gauge,Count,Network data received in megabytes. Metrics are aggregated in one minute intervals.,
azure_networkoutputmegabytes_average;azure_networkoutputmegabytes_count;azure_networkoutputmegabytes_maximum;azure_networkoutputmegabytes_minimum;azure_networkoutputmegabytes_total,Gauge,Count,Network data sent in megabytes. Metrics are aggregated in one minute intervals.,
azure_not_responding_runs_average;azure_not_responding_runs_count;azure_not_responding_runs_maximum;azure_not_responding_runs_minimum;azure_not_responding_runs_total,Gauge,Count,Number of runs not responding for this workspace. Count is updated when a run enters Not Responding state.,
azure_not_started_runs_average;azure_not_started_runs_count;azure_not_started_runs_maximum;azure_not_started_runs_minimum;azure_not_started_runs_total,Gauge,Count,Number of runs in Not Started state for this workspace. Count is updated when a request is received to create a run but run information has not yet been populated.,
azure_preempted_cores_average;azure_preempted_cores_count;azure_preempted_cores_maximum;azure_preempted_cores_minimum;azure_preempted_cores_total,Gauge,Count,Number of preempted cores,
azure_preempted_nodes_average;azure_preempted_nodes_count;azure_preempted_nodes_maximum;azure_preempted_nodes_minimum;azure_preempted_nodes_total,Gauge,Count,Number of preempted nodes. These nodes are the low priority nodes which are taken away from the available node pool.,
azure_preparing_runs_average;azure_preparing_runs_count;azure_preparing_runs_maximum;azure_preparing_runs_minimum;azure_preparing_runs_total,Gauge,Count,Number of runs that are preparing for this workspace. Count is updated when a run enters Preparing state while the run environment is being prepared.,
azure_provisioning_runs_average;azure_provisioning_runs_count;azure_provisioning_runs_maximum;azure_provisioning_runs_minimum;azure_provisioning_runs_total,Gauge,Count,Number of runs that are provisioning for this workspace. Count is updated when a run is waiting on compute target creation or provisioning.,
azure_queued_runs_average;azure_queued_runs_count;azure_queued_runs_maximum;azure_queued_runs_minimum;azure_queued_runs_total,Gauge,Count,Number of runs that are queued for this workspace. Count is updated when a run is queued in compute target. Can occure when waiting for required compute nodes to be ready.,
azure_quota_utilization_percentage_average;azure_quota_utilization_percentage_count;azure_quota_utilization_percentage_maximum;azure_quota_utilization_percentage_minimum;azure_quota_utilization_percentage_total,Gauge,Count,Percent of quota utilized,
azure_started_runs_average;azure_started_runs_count;azure_started_runs_maximum;azure_started_runs_minimum;azure_started_runs_total,Gauge,Count,Number of runs running for this workspace. Count is updated when run starts running on required resources.,
azure_starting_runs_average;azure_starting_runs_count;azure_starting_runs_maximum;azure_starting_runs_minimum;azure_starting_runs_total,Gauge,Count,"Number of runs started for this workspace. Count is updated after request to create run and run info, such as the Run Id, has been populated",
azure_storageapifailurecount_average;azure_storageapifailurecount_count;azure_storageapifailurecount_maximum;azure_storageapifailurecount_minimum;azure_storageapifailurecount_total,Gauge,Count,Azure Blob Storage API calls failure count.,
azure_storageapisuccesscount_average;azure_storageapisuccesscount_count;azure_storageapisuccesscount_maximum;azure_storageapisuccesscount_minimum;azure_storageapisuccesscount_total,Gauge,Count,Azure Blob Storage API calls success count.,
azure_total_cores_average;azure_total_cores_count;azure_total_cores_maximum;azure_total_cores_minimum;azure_total_cores_total,Gauge,Count,Number of total cores,
azure_total_nodes_average;azure_total_nodes_count;azure_total_nodes_maximum;azure_total_nodes_minimum;azure_total_nodes_total,Gauge,Count,"Number of total nodes. This total includes some of Active Nodes, Idle Nodes, Unusable Nodes, Premepted Nodes, Leaving Nodes",
azure_unusable_cores_average;azure_unusable_cores_count;azure_unusable_cores_maximum;azure_unusable_cores_minimum;azure_unusable_cores_total,Gauge,Count,Number of unusable cores,
azure_unusable_nodes_average;azure_unusable_nodes_count;azure_unusable_nodes_maximum;azure_unusable_nodes_minimum;azure_unusable_nodes_total,Gauge,Count,Number of unusable nodes. Unusable nodes are not functional due to some unresolvable issue. Azure will recycle these nodes.,
azure_warnings_average;azure_warnings_count;azure_warnings_maximum;azure_warnings_minimum;azure_warnings_total,Gauge,Count,Number of run warnings in this workspace. Count is updated whenever a run encounters a warning.,
